family,dataset_pretty,model_pretty,split,auc,f1,accuracy
ENV,City Hour,FT-Transformer,Random,0.8331455923663066,0.6521653662182312,0.7875450878658113
ENV,City Hour,FT-Transformer,WalkForward,0.7722898212151649,0.5847585730590669,0.7246653772729093
ENV,City Hour,Logistic Regression,Random,0.7440952281285883,0.5545998172692356,0.7195890118872049
ENV,City Hour,Logistic Regression,WalkForward,0.7453215722382054,0.5529550320009654,0.7142885427909169
ENV,City Hour,XGBoost,Random,0.8445693679345374,0.6618570218868336,0.8005650420227793
ENV,City Hour,XGBoost,WalkForward,0.7846688046101806,0.5936726439290666,0.7452089768334118
JIT,ApacheJIT,FT-Transformer,Random,0.8181540839183156,0.5024700820262817,0.8118272009999218
JIT,ApacheJIT,FT-Transformer,WalkForward,0.6924566389806853,0.356917669752645,0.7491754500396111
JIT,ApacheJIT,Logistic Regression,Random,0.7491625287920586,0.4686057998270319,0.6761659245371455
JIT,ApacheJIT,Logistic Regression,WalkForward,0.7522736903773747,0.5147764423095983,0.6477518603412985
JIT,ApacheJIT,XGBoost,Random,0.7882916603272448,0.4181043086971259,0.829653933286462
JIT,ApacheJIT,XGBoost,WalkForward,0.7734477653578543,0.35925608277564053,0.7506596087749378
PROMISE,ANT,FT-Transformer,Random,0.7965657638520093,0.46651123281706447,0.8200589970501474
PROMISE,ANT,FT-Transformer,WalkForward,0.7254320192003696,0.20191851018622672,0.8022442824491121
PROMISE,ANT,Logistic Regression,Random,0.8033811294034342,0.5562396409542697,0.7767944936086528
PROMISE,ANT,Logistic Regression,WalkForward,0.7125233194138396,0.4479294584413066,0.7128731246926188
PROMISE,ANT,XGBoost,Random,0.7491768454593734,0.4332429990966576,0.7964601769911503
PROMISE,ANT,XGBoost,WalkForward,0.667722631653658,0.31320881791820476,0.777707701756138
PROMISE,CAMEL,FT-Transformer,Random,0.6905531032637775,0.2595792313026575,0.8138839018551766
PROMISE,CAMEL,FT-Transformer,WalkForward,0.6263343482732049,0.1787412587412587,0.7620863074165901
PROMISE,CAMEL,Logistic Regression,Random,0.6991873996789728,0.4292616987603323,0.7145421903052065
PROMISE,CAMEL,Logistic Regression,WalkForward,0.611522069322581,0.3399269635533371,0.6508753895600816
PROMISE,CAMEL,XGBoost,Random,0.7650849384697699,0.4301541355814999,0.8114901256732496
PROMISE,CAMEL,XGBoost,WalkForward,0.6735319661233584,0.2857052847437463,0.7419971099374619
PROMISE,IVY,FT-Transformer,Random,0.7878679962013296,0.181100693892685,0.8297872340425533
PROMISE,IVY,FT-Transformer,WalkForward,0.7418536324786325,0.24744186046511624,0.7110229630328178
PROMISE,IVY,Logistic Regression,Random,0.7578347578347578,0.4286676286676287,0.6903073286052009
PROMISE,IVY,Logistic Regression,WalkForward,0.70571047008547,0.25835037491479207,0.6623738683515654
PROMISE,IVY,XGBoost,Random,0.7278015194681862,0.24035464035464035,0.8061465721040189
PROMISE,IVY,XGBoost,WalkForward,0.7146233974358975,0.23564794338788145,0.6859027253866465
PROMISE,JEDIT,FT-Transformer,Random,0.7945808988976498,0.3568498812401251,0.8533333333333334
PROMISE,JEDIT,FT-Transformer,WalkForward,0.7728944356151619,0.4428819450356476,0.8131040598098473
PROMISE,JEDIT,Logistic Regression,Random,0.7921606443927619,0.4677838613272535,0.7333333333333334
PROMISE,JEDIT,Logistic Regression,WalkForward,0.7852247162801724,0.41783137099039236,0.7045206442638606
PROMISE,JEDIT,XGBoost,Random,0.8082137387259628,0.452946657349173,0.8342857142857142
PROMISE,JEDIT,XGBoost,WalkForward,0.8385455593752662,0.4546344777152233,0.8104334120025396
PROMISE,LUCENE,FT-Transformer,Random,0.7564229249011857,0.6778882750153468,0.6687898089171974
PROMISE,LUCENE,FT-Transformer,WalkForward,0.6924600689711028,0.7015537502957647,0.6540069064062872
PROMISE,LUCENE,Logistic Regression,Random,0.7538976723759333,0.656183034223507,0.6624203821656051
PROMISE,LUCENE,Logistic Regression,WalkForward,0.6773222999564366,0.628673835125448,0.6174327220766849
PROMISE,LUCENE,XGBoost,Random,0.7131642512077295,0.6686016725655212,0.6326963906581741
PROMISE,LUCENE,XGBoost,WalkForward,0.6347040044475739,0.6284115735066873,0.6080554894022385
PROMISE,POI,FT-Transformer,Random,0.7458657417139655,0.6813704546120948,0.6714975845410628
PROMISE,POI,FT-Transformer,WalkForward,0.6423334817782457,0.39681668877299464,0.4996736746455743
PROMISE,POI,Logistic Regression,Random,0.6888269918015556,0.6591968121893622,0.6256038647342995
PROMISE,POI,Logistic Regression,WalkForward,0.6222880120939679,0.5106110259231255,0.5599761672073399
PROMISE,POI,XGBoost,Random,0.6748037979118492,0.5960565616550336,0.5845410628019324
PROMISE,POI,XGBoost,WalkForward,0.5986377087423639,0.34824827912960465,0.465795950022252
PROMISE,VELOCITY,FT-Transformer,Random,0.7004087420754087,0.6996704228486362,0.6223958333333334
PROMISE,VELOCITY,FT-Transformer,WalkForward,0.542611872058752,0.6219065675564517,0.4714014610455862
PROMISE,VELOCITY,Logistic Regression,Random,0.6536953620286954,0.6023802580233026,0.5989583333333334
PROMISE,VELOCITY,Logistic Regression,WalkForward,0.5630784836374334,0.66921387790953,0.6178427131371669
PROMISE,VELOCITY,XGBoost,Random,0.7134217550884218,0.6863634437777829,0.6432291666666666
PROMISE,VELOCITY,XGBoost,WalkForward,0.5783273571638696,0.6864035087719298,0.6134350895808676
