auc,f1,accuracy,model,split,seed,dataset
0.7884227296866703,0.5308641975308642,0.775811209439528,LogReg,random,42,promise_ant
0.7857142857142857,0.4,0.7964601769911505,RandomForest,random,42,promise_ant
0.7564524694636219,0.375,0.7935103244837758,XGBoost,random,42,promise_ant
0.7473977695167286,0.41379310344827586,0.799410029498525,LightGBM,random,42,promise_ant
0.7647371216144451,0.3434343434343434,0.8082595870206489,SimpleMLP,random,42,promise_ant
0.788688263409453,0.42276422764227645,0.7905604719764012,ResNet,random,42,promise_ant
0.789060010621349,0.46956521739130436,0.8200589970501475,FTTransformer,random,42,promise_ant
0.7979690783860831,0.5468354430379747,0.7597315436241611,LogReg,temporal,42,promise_ant
0.7763853340824438,0.42105263157894735,0.8080536912751678,RandomForest,temporal,42,promise_ant
0.7474821566056975,0.4632352941176471,0.8040268456375839,XGBoost,temporal,42,promise_ant
0.7567732068169049,0.45185185185185184,0.8013422818791947,LightGBM,temporal,42,promise_ant
0.752554258484716,0.41911764705882354,0.7879194630872484,SimpleMLP,temporal,42,promise_ant
0.7197702728010488,0.4511784511784512,0.7812080536912752,ResNet,temporal,42,promise_ant
0.7979066525168029,0.4149377593360996,0.810738255033557,FTTransformer,temporal,42,promise_ant
0.8467870419543282,0.5869565217391305,0.775811209439528,LogReg,random,123,promise_ant
0.7988847583643124,0.45528455284552843,0.8023598820058997,RandomForest,random,123,promise_ant
0.7776951672862453,0.4878048780487805,0.8141592920353983,XGBoost,random,123,promise_ant
0.7429633563462561,0.4462809917355372,0.8023598820058997,LightGBM,random,123,promise_ant
0.7964949548592672,0.42,0.8289085545722714,SimpleMLP,random,123,promise_ant
0.7766330323951143,0.43902439024390244,0.7964601769911505,ResNet,random,123,promise_ant
0.8458842272968666,0.5272727272727272,0.8466076696165191,FTTransformer,random,123,promise_ant
0.7979690783860831,0.5468354430379747,0.7597315436241611,LogReg,temporal,123,promise_ant
0.7793037434712944,0.4330708661417323,0.8067114093959732,RandomForest,temporal,123,promise_ant
0.7535998917951601,0.4632352941176471,0.8040268456375839,XGBoost,temporal,123,promise_ant
0.7539016168300143,0.4731182795698925,0.8026845637583893,LightGBM,temporal,123,promise_ant
0.748819110639449,0.4108527131782946,0.7959731543624161,SimpleMLP,temporal,123,promise_ant
0.7396425078552553,0.40892193308550184,0.7865771812080536,ResNet,temporal,123,promise_ant
0.8009655201115343,0.5486111111111112,0.825503355704698,FTTransformer,temporal,123,promise_ant
0.7749867233138608,0.5562130177514792,0.7787610619469026,LogReg,random,456,promise_ant
0.7533722782793415,0.4,0.7964601769911505,RandomForest,random,456,promise_ant
